Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,49.222094,49.273070,47.573829,48.146572,48.146572,411254000
2024-01-03,47.463882,48.162568,47.298954,47.547844,47.547844,320896000
2024-01-04,47.745754,48.478430,47.486870,47.976654,47.976654,306535000
2024-01-05,48.440445,49.524962,48.284512,49.075161,49.075161,415039000
2024-01-08,49.489981,52.251753,49.456995,52.229759,52.229759,642510000
2024-01-09,52.377694,54.300838,51.667008,53.116364,53.116364,773100000
2024-01-10,53.592154,54.575714,53.465208,54.325825,54.325825,533796000
2024-01-11,54.974538,55.321384,53.536179,54.797615,54.797615,596759000
2024-01-12,54.595697,54.945544,54.305829,54.685658,54.685658,352994000
2024-01-16,54.993530,56.809720,54.875583,56.356922,56.356922,449580000
2024-01-17,56.321936,56.445882,54.715653,56.028069,56.028069,474394000
2024-01-18,57.234532,57.574381,56.082045,57.081600,57.081600,491650000
2024-01-19,57.963204,59.473533,57.199544,59.464539,59.464539,543501000
2024-01-22,60.022293,60.304169,59.043728,59.627468,59.627468,452955000
2024-01-23,59.543504,59.883353,58.558942,59.846371,59.846371,294654000
2024-01-24,60.277177,62.821043,59.911339,61.334705,61.334705,560271000
2024-01-25,62.322264,62.691103,60.822931,61.589592,61.589592,482777000
2024-01-26,60.932885,61.755521,60.546060,61.003853,61.003853,390309000
2024-01-29,61.204764,62.461205,60.879912,62.437218,62.437218,348733000
2024-01-30,62.872022,63.464757,62.232303,62.746075,62.746075,410735000
2024-01-31,61.412671,62.241304,60.673002,61.499634,61.499634,453795000
2024-02-01,62.072377,63.162895,61.622580,62.998966,62.998966,369146000
2024-02-02,63.945545,66.570376,63.661671,66.130577,66.130577,476578000
2024-02-05,68.194660,69.466098,67.175117,69.301170,69.301170,680078000
2024-02-06,69.599029,69.722975,66.270516,68.192657,68.192657,683111000
2024-02-07,68.288603,70.188758,67.569921,70.067810,70.067810,495575000
2024-02-08,70.042822,70.762503,69.424102,69.610016,69.610016,414422000
2024-02-09,70.501627,72.152893,70.180771,72.100922,72.100922,436637000
2024-02-12,72.567707,74.577814,71.218309,72.215866,72.215866,613710000
2024-02-13,70.368689,73.417327,69.589037,72.095917,72.095917,602580000
2024-02-14,73.169446,74.202983,71.906009,73.867134,73.867134,504917000
2024-02-15,73.836147,73.942095,72.367798,72.625679,72.625679,420122000
2024-02-16,74.067034,74.368902,72.468746,72.580696,72.580696,495327000
2024-02-20,71.914990,71.923988,67.703866,69.421104,69.421104,704833000
2024-02-21,67.975753,68.857364,66.218539,67.441994,67.441994,673755000
2024-02-22,74.991629,78.540045,74.186987,78.503067,78.503067,865100000
2024-02-23,80.754066,82.357349,77.535497,78.781944,78.781944,829388000
2024-02-26,79.664547,80.610133,78.470079,79.056824,79.056824,503973000
2024-02-27,79.345691,79.444653,77.127683,78.665993,78.665993,391705000
2024-02-28,77.585476,78.897888,77.090693,77.628456,77.628456,393110000
2024-02-29,79.058823,79.954421,78.315151,79.076813,79.076813,507289000
2024-03-01,79.964416,82.263396,79.399664,82.242401,82.242401,479135000
2024-03-04,84.092572,87.655988,83.681759,85.199081,85.199081,615616000
2024-03-05,85.236070,86.062745,83.383811,85.929794,85.929794,520639000
2024-03-06,87.986979,89.688298,86.995370,88.664703,88.664703,582520000
2024-03-07,90.122116,92.730079,89.566337,92.632118,92.632118,608119000
2024-03-08,95.100153,97.361254,86.471583,87.493179,87.493179,1142269000
2024-03-11,86.394614,88.761668,84.132514,85.739876,85.739876,678364000
2024-03-12,88.013966,91.923405,86.115720,91.876427,91.876427,668075000
2024-03-13,91.018771,91.467589,88.399810,90.851837,90.851837,635713000
2024-03-14,89.541358,90.609932,86.565537,87.909004,87.909004,602318000
2024-03-15,86.895403,89.510360,86.222675,87.802040,87.802040,642086000
2024-03-18,90.352029,92.368225,87.050342,88.419800,88.419800,668976000
2024-03-19,86.665510,90.507982,84.976187,89.362442,89.362442,672171000
2024-03-20,89.761269,90.374031,88.187897,90.336044,90.336044,479063000
