date,open,high,low,close,adj close,volume
2022-01-03,145.054993,145.850998,143.712997,144.991501,144.991501,28646000
2022-01-04,145.395996,146.485001,143.716507,144.399506,144.399506,28400000
2022-01-05,144.419998,144.499496,137.688004,137.774994,137.774994,54618000
2022-01-06,136.998505,139.940002,136.558502,137.747498,137.747498,37348000
2022-01-07,138.145493,138.448502,135.766495,137.016998,137.016998,29760000
2022-01-10,135.078003,138.819504,133.164505,138.669495,138.669495,44408000
2022-01-11,138.007004,140.216003,136.692505,139.735992,139.735992,28730000
2022-01-12,141.149994,142.608002,140.694504,141.430496,141.430496,26108000
2022-01-13,141.539993,142.850006,138.408997,138.587006,138.587006,31436000
2022-01-14,137.078995,140.742004,136.998505,139.480499,139.480499,29662000
2022-01-18,136.175003,137.1315,135.438507,135.998001,135.998001,34872000
2022-01-19,136.523499,137.959503,135.015503,135.116501,135.116501,28648000
2022-01-20,136.25,137.626007,132.964493,133.307495,133.307495,29908000
2022-01-21,132.593506,134.865494,130.086502,130.351501,130.351501,55652000
2022-01-24,125.977997,131.203003,124.5,130.804001,130.804001,76622000
2022-01-25,128.740005,129.399002,126.500504,126.934998,126.934998,46960000
2022-01-26,131.119003,133.0,127.141998,129.233002,129.233002,49130000
2022-01-27,131.304001,132.652496,128.932495,129.005005,129.005005,31950000
2022-01-28,129.658997,133.356506,128.485001,133.350998,133.350998,34362000
2022-01-31,134.162003,135.473007,132.209503,135.303497,135.303497,39986000
2022-02-01,137.594498,137.792999,134.3685,137.643997,137.643997,68644000
2022-02-02,151.25,151.546494,145.522507,148.0,148.0,123200000
2022-02-03,145.705505,149.675003,142.665497,143.089996,143.089996,71518000
2022-02-04,143.444504,144.875,140.514999,143.292999,143.292999,57998000
2022-02-07,144.25,144.25,138.899994,139.201004,139.201004,54974000
2022-02-08,139.026505,140.0,137.014008,139.399002,139.399002,54284000
2022-02-09,140.963501,142.524506,140.186996,141.591995,141.591995,40144000
2022-02-10,139.703506,141.484497,137.957001,138.619995,138.619995,39330000
2022-02-11,138.600006,139.156494,133.399994,134.282501,134.282501,39958000
2022-02-14,133.2565,136.300003,133.2565,135.526001,135.526001,34302000
2022-02-15,137.570496,138.108505,135.821503,136.608505,136.608505,26680000
2022-02-16,136.6465,138.085999,134.923996,137.738007,137.738007,25022000
2022-02-17,136.242996,137.113495,132.4785,132.539001,132.539001,38950000
2022-02-18,133.466995,134.070007,130.196503,130.403,130.403,45620000
2022-02-22,129.837997,132.180496,128.223495,129.813507,129.813507,44990000
2022-02-23,131.648499,132.050995,127.527496,127.587997,127.587997,32786000
2022-02-24,124.953499,133.0,124.953499,132.690994,132.690994,54456000
2022-02-25,133.552002,135.2715,131.751495,134.459503,134.459503,36406000
2022-02-28,133.050003,135.751495,132.592499,135.057007,135.057007,38864000
2022-03-01,134.878494,136.255493,133.218506,134.061493,134.061493,26496000
2022-03-02,134.628006,135.262497,133.071503,134.571503,134.571503,23520000
2022-03-03,136.009995,136.439499,133.025497,133.899506,133.899506,24604000
2022-03-04,132.927505,133.851501,130.337494,131.906494,131.906494,30430000
2022-03-07,131.488007,131.735001,126.294998,126.378502,126.378502,45112000
2022-03-08,126.25,131.25,125.6745,127.1045,127.1045,40428000
2022-03-09,131.25,133.735504,129.900497,133.419998,133.419998,37026000
2022-03-10,131.266006,133.272003,130.912506,132.429504,132.429504,27102000
2022-03-11,133.488495,133.795502,129.6315,129.870499,129.870499,31526000
2022-03-14,130.25,130.408997,125.275002,125.950996,125.950996,38812000
2022-03-15,126.975998,129.854507,125.720497,129.197998,129.197998,30920000
2022-03-16,130.733002,133.332993,128.734497,133.280502,133.280502,35576000
2022-03-17,133.149002,134.080505,132.184998,133.839005,133.839005,28264000
2022-03-18,133.4245,136.244003,132.258499,136.125504,136.125504,44566000
2022-03-21,136.163498,137.050003,134.092499,136.101501,136.101501,26832000
2022-03-22,136.101501,141.050003,136.101501,139.867996,139.867996,35496000
2022-03-23,138.702499,139.588501,137.835007,138.275497,138.275497,25154000
2022-03-24,139.199997,141.619003,137.750504,141.572006,141.572006,26396000
2022-03-25,141.916,142.035004,139.737503,141.673004,141.673004,24126000
2022-03-28,140.900497,142.002502,139.811493,141.455505,141.455505,35050000
2022-03-29,142.647507,143.793503,142.038498,142.505493,142.505493,34318000
2022-03-30,142.460007,142.720505,141.600006,141.938507,141.938507,19884000
2022-03-31,142.052994,142.108002,139.024506,139.067505,139.067505,37524000
2022-04-01,139.5,140.470993,138.307495,140.150497,140.150497,25942000
2022-04-04,140.358505,143.712006,140.310501,142.971497,142.971497,25942000
2022-04-05,142.869003,142.990494,140.382507,140.591003,140.591003,21418000
2022-04-06,138.75,139.360504,135.516998,136.548004,136.548004,32468000
2022-04-07,136.009995,137.164505,134.227493,135.888504,135.888504,26234000
2022-04-08,135.583496,135.669998,132.9655,133.287506,133.287506,25142000
2022-04-11,131.823502,132.092499,128.668503,128.823502,128.823502,36884000
2022-04-12,131.600006,131.600006,126.789001,127.7145,127.7145,32710000
2022-04-13,128.0,130.334,127.740997,129.893997,129.893997,27928000
2022-04-14,130.479507,130.479507,126.600998,126.730003,126.730003,31598000
2022-04-18,127.0,128.212494,126.181999,127.676498,127.676498,20808000
2022-04-19,127.691498,130.332993,126.999496,130.009003,130.009003,26490000
2022-04-20,130.891998,131.399002,127.5,128.039993,128.039993,31696000
2022-04-21,129.25,130.098495,124.526497,124.814499,124.814499,36446000
2022-04-22,125.0,125.402,118.925003,119.635498,119.635498,56884000
2022-04-25,119.100998,123.277496,118.511002,123.073997,123.073997,46128000
2022-04-26,122.294502,122.510002,118.511002,118.650002,118.650002,73054000
2022-04-27,114.469498,117.241997,112.736504,114.294502,114.294502,91820000
