Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,0.355772,0.366087,0.355313,0.362649,0.362649,817448000
2011-01-04,0.363336,0.364941,0.353479,0.361502,0.361502,651384000
2011-01-05,0.368150,0.389698,0.364483,0.389240,0.389240,1428216000
2011-01-06,0.399326,0.443339,0.398180,0.443110,0.443110,3493312000
2011-01-07,0.438067,0.456864,0.428210,0.455489,0.455489,2579984000
2011-01-10,0.447236,0.473827,0.443798,0.472910,0.472910,1750348000
2011-01-11,0.479329,0.483914,0.455488,0.465575,0.465575,2711088000
2011-01-12,0.465804,0.535720,0.464199,0.535262,0.535262,3431896000
2011-01-13,0.529531,0.546495,0.513026,0.536179,0.536179,2695192000
2011-01-14,0.527010,0.549704,0.523800,0.540764,0.540764,1595352000
2011-01-18,0.533428,0.537096,0.515090,0.528156,0.528156,1813348000
2011-01-19,0.528385,0.540993,0.512568,0.513714,0.513714,1197896000
2011-01-20,0.508671,0.517153,0.499502,0.514173,0.514173,1111408000
2011-01-21,0.519674,0.527010,0.508442,0.509358,0.509358,739244000
2011-01-24,0.532740,0.574232,0.526780,0.566896,0.566896,2056900000
2011-01-25,0.564375,0.570335,0.545807,0.549475,0.549475,1086856000
2011-01-26,0.555206,0.573086,0.551309,0.562541,0.562541,1074660000
2011-01-27,0.570564,0.571940,0.550162,0.560936,0.560936,657396000
2011-01-28,0.562312,0.571710,0.531823,0.544660,0.544660,1094796000
2011-01-31,0.545578,0.555893,0.536637,0.548328,0.548328,750160000
2011-02-01,0.553142,0.565063,0.549475,0.560936,0.560936,654104000
2011-02-02,0.557727,0.599906,0.557727,0.586381,0.586381,1606616000
2011-02-03,0.587298,0.587298,0.562770,0.575378,0.575378,1030776000
2011-02-04,0.583401,0.593029,0.581109,0.588445,0.588445,872900000
2011-02-07,0.580421,0.582943,0.561853,0.563916,0.563916,934236000
2011-02-08,0.564604,0.568272,0.544661,0.547182,0.547182,1076584000
2011-02-09,0.549246,0.554747,0.524030,0.533887,0.533887,1277520000
2011-02-10,0.521967,0.532053,0.518070,0.523113,0.523113,1042352000
2011-02-11,0.521279,0.554976,0.512797,0.538013,0.538013,1359276000
2011-02-14,0.544431,0.561624,0.527697,0.529760,0.529760,1287828000
2011-02-15,0.530678,0.532511,0.514631,0.516923,0.516923,886980000
2011-02-16,0.523800,0.543514,0.521966,0.535950,0.535950,1318364000
2011-02-17,0.520820,0.596238,0.518299,0.588674,0.588674,3470096000
2011-02-18,0.585464,0.594863,0.578358,0.587528,0.587528,1394412000
2011-02-22,0.568272,0.569877,0.530219,0.532053,0.532053,1396648000
2011-02-23,0.532053,0.537096,0.499272,0.506837,0.506837,1491604000
2011-02-24,0.509359,0.528156,0.505691,0.519216,0.519216,1246120000
2011-02-25,0.533199,0.538701,0.525863,0.529990,0.529990,775652000
2011-02-28,0.538701,0.538930,0.507525,0.519445,0.519445,903696000
2011-03-01,0.520362,0.527009,0.496292,0.496292,0.496292,988448000
2011-03-02,0.495604,0.505003,0.464199,0.475661,0.475661,1718140000
2011-03-03,0.486664,0.489415,0.463970,0.478412,0.478412,1593704000
2011-03-04,0.478870,0.483684,0.470618,0.475890,0.475890,959760000
2011-03-07,0.479329,0.480934,0.457322,0.469243,0.469243,1019140000
2011-03-08,0.474286,0.476807,0.438296,0.448153,0.448153,1947184000
2011-03-09,0.446778,0.451133,0.434857,0.438754,0.438754,1318976000
2011-03-10,0.428668,0.431877,0.410329,0.410788,0.410788,1722736000
2011-03-11,0.414226,0.425230,0.404828,0.413768,0.413768,1486832000
2011-03-14,0.416977,0.427522,0.410329,0.417206,0.417206,1003360000
2011-03-15,0.396805,0.411705,0.389928,0.404828,0.404828,1256280000
2011-03-16,0.401160,0.420645,0.396575,0.401848,0.401848,1476520000
2011-03-17,0.412622,0.413309,0.394283,0.409413,0.409413,1238516000
2011-03-18,0.415831,0.417206,0.403452,0.403911,0.403911,886960000
2011-03-21,0.412622,0.416748,0.402994,0.407120,0.407120,751832000
2011-03-22,0.405974,0.409871,0.398180,0.400014,0.400014,718332000
2011-03-23,0.399326,0.409412,0.390615,0.408266,0.408266,782396000
2011-03-24,0.416977,0.445861,0.416060,0.440818,0.440818,1780592000
2011-03-25,0.444715,0.445861,0.426376,0.427064,0.427064,1196392000
2011-03-28,0.437150,0.450216,0.433253,0.442881,0.442881,1204284000
2011-03-29,0.442881,0.444485,0.433482,0.439442,0.439442,715764000
2011-03-30,0.442881,0.444715,0.417436,0.422937,0.422937,1176320000
2011-03-31,0.423625,0.428210,0.415373,0.423167,0.423167,655112000
2011-04-01,0.428668,0.429127,0.411476,0.417206,0.417206,850072000
2011-04-04,0.417206,0.418353,0.399326,0.402306,0.402306,924328000
2011-04-05,0.408266,0.411476,0.402077,0.402994,0.402994,821076000
2011-04-06,0.405974,0.406432,0.396805,0.400243,0.400243,856984000
2011-04-07,0.401160,0.417436,0.399556,0.414914,0.414914,1021208000
2011-04-08,0.418123,0.418123,0.401160,0.402306,0.402306,746552000
2011-04-11,0.403911,0.405974,0.392678,0.397034,0.397034,546208000
2011-04-12,0.393137,0.400931,0.385801,0.398180,0.398180,840756000
2011-04-13,0.402306,0.409642,0.397263,0.407120,0.407120,749588000
2011-04-14,0.403452,0.424542,0.401160,0.424313,0.424313,1254704000
2011-04-15,0.421103,0.434170,0.419040,0.428897,0.428897,969720000
