Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,0.424313,0.426834,0.415143,0.423854,0.423854,800204000
2010-01-05,0.422250,0.434628,0.422250,0.430044,0.430044,728648000
2010-01-06,0.429814,0.433711,0.425688,0.432794,0.432794,649168000
2010-01-07,0.430502,0.432336,0.421104,0.424313,0.424313,547792000
2010-01-08,0.420874,0.428210,0.418353,0.425230,0.425230,478168000
2010-01-11,0.427522,0.429356,0.413309,0.419270,0.419270,556612000
2010-01-12,0.413080,0.414685,0.396346,0.405057,0.405057,627432000
2010-01-13,0.407808,0.411934,0.391991,0.410559,0.410559,508868000
2010-01-14,0.405515,0.408495,0.397263,0.404140,0.404140,608524000
2010-01-15,0.401160,0.404598,0.386947,0.392220,0.392220,818192000
2010-01-19,0.389240,0.402077,0.388094,0.399555,0.399555,545328000
2010-01-20,0.394512,0.399555,0.389240,0.397951,0.397951,719728000
2010-01-21,0.397722,0.404828,0.387177,0.390844,0.390844,608632000
2010-01-22,0.386260,0.393366,0.375027,0.377319,0.377319,1067916000
2010-01-25,0.383509,0.391074,0.380758,0.383738,0.383738,643676000
2010-01-26,0.381904,0.384426,0.371360,0.371589,0.371589,714636000
2010-01-27,0.371360,0.383050,0.367233,0.381675,0.381675,812504000
2010-01-28,0.384655,0.386031,0.363566,0.368838,0.368838,687764000
2010-01-29,0.372964,0.377090,0.347290,0.352792,0.352792,774700000
2010-02-01,0.354167,0.380529,0.351187,0.379841,0.379841,949832000
2010-02-02,0.378466,0.388552,0.377320,0.383738,0.383738,849812000
2010-02-03,0.380300,0.388552,0.378466,0.386947,0.386947,562296000
2010-02-04,0.383509,0.383509,0.360356,0.364482,0.364482,783480000
2010-02-05,0.364024,0.372735,0.357605,0.371818,0.371818,604856000
2010-02-08,0.370672,0.380070,0.363795,0.371130,0.371130,445160000
2010-02-09,0.377090,0.378924,0.364483,0.368150,0.368150,930144000
2010-02-10,0.370443,0.378695,0.367921,0.375256,0.375256,535828000
2010-02-11,0.381217,0.396575,0.378466,0.392449,0.392449,695980000
2010-02-12,0.389698,0.405745,0.385343,0.397721,0.397721,780212000
2010-02-16,0.402994,0.406662,0.398180,0.405057,0.405057,457024000
2010-02-17,0.410100,0.410329,0.397263,0.408954,0.408954,876560000
2010-02-18,0.386489,0.388552,0.371589,0.382134,0.382134,1515508000
2010-02-19,0.380529,0.384655,0.378237,0.380070,0.380070,510548000
2010-02-22,0.381675,0.387406,0.378237,0.380758,0.380758,458084000
2010-02-23,0.381904,0.383509,0.367692,0.371589,0.371589,489764000
2010-02-24,0.374798,0.383050,0.373652,0.379383,0.379383,445868000
2010-02-25,0.370672,0.376861,0.361273,0.375944,0.375944,576972000
2010-02-26,0.374110,0.376861,0.369067,0.371360,0.371360,393396000
2010-03-01,0.371589,0.388094,0.368609,0.386260,0.386260,555868000
2010-03-02,0.389698,0.394512,0.383280,0.386031,0.386031,538648000
2010-03-03,0.388323,0.390386,0.378007,0.381217,0.381217,399300000
2010-03-04,0.382821,0.385801,0.377090,0.381904,0.381904,557396000
2010-03-05,0.379154,0.396346,0.379154,0.393595,0.393595,632832000
2010-03-08,0.393825,0.394971,0.386260,0.387864,0.387864,439312000
2010-03-09,0.391761,0.406203,0.391532,0.402306,0.402306,830832000
2010-03-10,0.401160,0.407579,0.400931,0.403223,0.403223,418520000
2010-03-11,0.400014,0.401389,0.392449,0.394054,0.394054,540660000
2010-03-12,0.398409,0.399555,0.393366,0.395429,0.395429,520352000
2010-03-15,0.394971,0.398868,0.389698,0.393366,0.393366,358904000
2010-03-16,0.393137,0.409413,0.392908,0.407120,0.407120,664988000
2010-03-17,0.409412,0.420416,0.409412,0.414914,0.414914,651168000
2010-03-18,0.415602,0.415602,0.396575,0.400243,0.400243,740964000
2010-03-19,0.406203,0.407349,0.390386,0.395429,0.395429,584612000
2010-03-22,0.390386,0.403452,0.390386,0.401848,0.401848,435336000
2010-03-23,0.404828,0.412163,0.402077,0.410100,0.410100,493612000
2010-03-24,0.406662,0.407808,0.395658,0.396346,0.396346,436252000
2010-03-25,0.402077,0.404599,0.396575,0.397492,0.397492,495184000
2010-03-26,0.400931,0.405057,0.394283,0.397492,0.397492,344676000
2010-03-29,0.400014,0.403452,0.394512,0.402535,0.402535,394456000
2010-03-30,0.407120,0.409183,0.397263,0.404140,0.404140,324104000
2010-03-31,0.402535,0.404369,0.396805,0.398868,0.398868,389840000
2010-04-01,0.400702,0.405286,0.390615,0.394741,0.394741,339664000
2010-04-05,0.397263,0.401389,0.396805,0.400702,0.400702,413636000
2010-04-06,0.395658,0.396575,0.383967,0.390844,0.390844,809260000
2010-04-07,0.388323,0.400014,0.385114,0.393366,0.393366,817468000
2010-04-08,0.390844,0.393825,0.384884,0.386947,0.386947,1037600000
2010-04-09,0.386031,0.390845,0.383968,0.389469,0.389469,817572000
2010-04-12,0.389928,0.398180,0.389240,0.396575,0.396575,546460000
2010-04-13,0.398180,0.406203,0.396575,0.404828,0.404828,648696000
2010-04-14,0.413539,0.415602,0.403452,0.409871,0.409871,900720000
2010-04-15,0.411246,0.415372,0.407120,0.412851,0.412851,957596000
2010-04-16,0.396117,0.397722,0.382363,0.391074,0.391074,1917736000
2010-04-19,0.388094,0.390386,0.376174,0.389240,0.389240,1094492000
2010-04-20,0.391991,0.396117,0.385572,0.390615,0.390615,678188000
2010-04-21,0.392678,0.393137,0.375944,0.380529,0.380529,895908000
2010-04-22,0.374340,0.383280,0.369067,0.382134,0.382134,656932000
2010-04-23,0.380987,0.381904,0.370213,0.376861,0.376861,752916000
2010-04-26,0.377320,0.385114,0.376632,0.380529,0.380529,491092000
2010-04-27,0.377778,0.381675,0.368609,0.369755,0.369755,606704000
2010-04-28,0.369526,0.375715,0.362878,0.370443,0.370443,672164000
2010-04-29,0.371589,0.382134,0.366087,0.381675,0.381675,987128000
2010-04-30,0.377090,0.377778,0.359898,0.360127,0.360127,1068048000
2010-05-03,0.361961,0.364024,0.350728,0.356230,0.356230,1078972000
2010-05-04,0.350728,0.351416,0.333077,0.338121,0.338121,1311376000
2010-05-05,0.331244,0.340871,0.328263,0.332390,0.332390,1330840000
2010-05-06,0.330097,0.336974,0.298922,0.325513,0.325513,1002888000
2010-05-07,0.328493,0.328493,0.308549,0.320011,0.320011,1153712000
2010-05-10,0.339267,0.343393,0.330097,0.333765,0.333765,979156000
2010-05-11,0.330556,0.336745,0.327576,0.330097,0.330097,829124000
2010-05-12,0.332390,0.338350,0.330327,0.336516,0.336516,901236000
2010-05-13,0.335140,0.350499,0.332619,0.335828,0.335828,1252000000
2010-05-14,0.313134,0.314051,0.288835,0.297088,0.297088,2493068000
2010-05-17,0.297546,0.301443,0.288377,0.297775,0.297775,856060000
