Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,29.760691,30.655059,29.730745,30.066133,30.066133,391547000
2022-01-04,30.221852,30.412504,28.297364,29.236650,29.236650,527154000
2022-01-05,28.896266,29.362416,27.482847,27.553717,27.553717,498064000
2022-01-06,27.589653,28.386199,27.015701,28.126673,28.126673,454186000
2022-01-07,28.089741,28.370229,27.007714,27.197369,27.197369,409939000
2022-01-10,26.532582,27.418965,25.597288,27.350090,27.350090,594681000
2022-01-11,27.273231,28.013880,26.790113,27.766331,27.766331,404089000
2022-01-12,28.015873,28.542911,27.557710,27.947998,27.947998,383413000
2022-01-13,28.327303,28.428119,26.449729,26.526590,26.526590,540171000
2022-01-14,26.252094,27.147462,26.162258,26.892925,26.892925,395832000
2022-01-18,26.212164,26.589476,25.723057,25.855814,25.855814,424270000
2022-01-19,26.031499,26.494653,25.006369,25.021341,25.021341,488315000
2022-01-20,25.257908,25.532406,24.034139,24.106009,24.106009,435181000
2022-01-21,23.464182,24.777785,23.220627,23.331425,23.331425,718958000
2022-01-24,22.289324,23.337411,20.849951,23.329426,23.329426,913982000
2022-01-25,22.504932,22.901211,21.959927,22.283337,22.283337,664616000
2022-01-26,23.197670,24.013181,22.259382,22.730522,22.730522,755959000
2022-01-27,23.525074,23.951297,21.635521,21.904032,21.904032,573353000
2022-01-28,21.971904,22.816364,21.257209,22.798397,22.798397,543774000
2022-01-31,23.139773,24.464357,23.010011,24.441399,24.441399,564680000
2022-02-01,25.058273,25.099199,23.846484,24.593122,24.593122,518925000
2022-02-02,25.747019,25.769975,24.508278,25.196024,25.196024,543419000
2022-02-03,24.413454,25.031326,23.736689,23.904383,23.904383,410178000
2022-02-04,23.928336,24.590128,23.588955,24.274704,24.274704,354829000
2022-02-07,24.327606,25.136130,24.157916,24.682959,24.682959,376868000
2022-02-08,24.314633,25.184047,23.936323,25.062269,25.062269,410359000
2022-02-09,25.575327,26.676319,25.306818,26.656355,26.656355,524282000
2022-02-10,25.947652,26.875957,25.553371,25.776962,25.776962,513200000
2022-02-11,25.868795,26.104365,23.729698,23.905376,23.905376,605472000
2022-02-14,23.890406,24.829692,23.711731,24.222799,24.222799,440424000
2022-02-15,24.903554,26.496647,24.738855,26.446739,26.446739,699869000
2022-02-16,26.211170,26.533581,25.505457,26.462709,26.462709,732676000
2022-02-17,25.583312,25.738030,24.120982,24.462358,24.462358,810595000
2022-02-18,24.623066,24.940488,23.057924,23.598936,23.598936,761255000
2022-02-22,22.993046,24.020171,22.958110,23.347399,23.347399,633422000
2022-02-23,23.758647,24.111005,22.260382,22.346224,22.346224,566511000
2022-02-24,20.976719,23.756646,20.851947,23.704741,23.704741,735801000
2022-02-25,23.677796,24.172891,23.338415,24.113001,24.113001,528866000
2022-02-28,23.948302,24.620076,23.663821,24.340586,24.340586,477319000
2022-03-01,24.246755,24.332599,23.089866,23.434237,23.434237,412056000
2022-03-02,23.716772,24.368693,23.376335,24.180004,24.180004,389642000
2022-03-03,24.221932,24.285828,23.430243,23.674839,23.674839,365095000
2022-03-04,23.345383,23.640894,22.444872,22.898123,22.898123,431415000
2022-03-07,22.779319,22.994964,21.294775,21.316738,21.316738,450821000
2022-03-08,21.273808,22.336050,20.615896,21.478470,21.478470,557467000
2022-03-09,22.350027,23.181651,22.210259,22.975992,22.975992,492742000
2022-03-10,22.493793,22.750369,21.845865,22.620584,22.620584,428066000
2022-03-11,22.983982,23.106780,22.009593,22.063505,22.063505,367209000
2022-03-14,21.832884,22.225235,21.124058,21.294775,21.294775,385354000
2022-03-15,21.482465,22.999956,21.286790,22.935062,22.935062,491996000
2022-03-16,23.461190,24.556378,23.133733,24.455545,24.455545,671422000
2022-03-17,24.080167,24.800972,23.866519,24.725100,24.725100,471941000
2022-03-18,24.758049,26.525127,24.583339,26.409317,26.409317,730719000
2022-03-21,26.463227,27.107163,25.924118,26.689852,26.689852,591727000
2022-03-22,26.682866,27.193023,26.028948,26.480202,26.480202,547007000
